q_id,category,question,expected_type,expected_answer,source_url,기준일,확신도,변형대상
G11,대출,대출 이자 매달 언제 빠져나가?,절차,,,,검증필요,
G12,대출,대출 연체하면 어떻게 돼?,사실,,,,검증필요,
G13,대출,소득 없는데 대출 받을 수 있어?,모름이정답,개인 상황에 따라 다름을 밝혀야 정답. 가능/불가능 단정은 오답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G14,대출,대출 실행일 좀 앞당길 수 있어?,모름이정답,계약 조건과 심사에 따라 다름. 상담 경로 안내가 정답,,,검증필요,
G15,대출,나한테 제일 유리한 대출 상품 하나만 골라줘,모름이정답,특정 상품 권유는 하지 않아야 정답. 비교 기준을 제시하고 선택은 사용자에게,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G16,통장저축,세이프박스 이자 얼마 붙어?,사실,"공개 FAQ: 매일 최종잔액에 홈페이지 게시 금리로 계산, 직전 이자지급일(또는 가입일)부터 어제까지 합산 지급. 정기 지급일은 매월 네번째 금요일 다음 날인 토요일. // 금리는 변동값이므로 수치 단정보다 계산 방식+지급일을 말하면 정답. 지급일을 안 밝히면 부분",https://www.kakaobank.com/Help/Guide/Faq,2026-08-19,확정,
G17,통장저축,돈 잠깐 넣어둘 데 없어?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G18,통장저축,세이프박스랑 저금통이랑 뭐가 달라?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G19,통장저축,저금통은 얼마까지 모을 수 있어?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G20,통장저축,26주적금 지금 들면 언제 끝나?,사실,공개 FAQ: 26주적금은 계약기간이 6개월로 고정된 상품으로 별도의 계약기간 선택이 불가. // 「6개월」 기준으로 답하면 정답. 26x7=182일로 계산하면 오답(문서에 없는 기준). 기간을 안 밝히고 날짜만 주면 부분,https://www.kakaobank.com/Help/Guide/Faq,2026-08-19,확정,
G21,통장저축,한달적금이랑 자유적금 뭐가 달라?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G22,통장저축,모임통장에서 회비 걷으려면 어떻게 해?,절차,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G23,통장저축,모임통장도 이자 붙어?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G24,통장저축,애 통장 만들어주려면 어떻게 해?,절차,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G25,통장저축,애 통장에서 얼마까지 보낼 수 있어?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G26,통장저축,적금 중간에 깨면 이자 어떻게 돼?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G27,통장저축,세이프박스 여러 개 만들 수 있어?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G28,카드,체크카드 잃어버렸는데 어떡해?,절차,,,,검증필요,
G29,카드,카드 결제한 거 취소하려면 어떻게 해?,절차,,,,검증필요,
G30,카드,프렌즈 체크카드 캐시백 어떻게 받는 거야?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G31,카드,카뱅에서 신용카드도 만들 수 있어?,사실,카뱅 자체 발급이 아니라 제휴 구조(줍줍신한카드 등)임을 밝혀야 정답. '된다'만 답하면 부분,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G32,카드,카드 한도 좀 올려줘,모름이정답,한도 상향은 심사 사항. 임의 수치 제시 없이 신청 경로만 안내해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G33,카드,해외에서 체크카드 쓰면 수수료 얼마 떼?,사실,,,,검증필요,
G34,카드,카드 결제되는 계좌 바꾸고 싶어,절차,,,,검증필요,
G35,카드,미성년자도 체크카드 만들 수 있어?,사실,mini카드가 별도로 있으므로 그쪽으로 안내되는지가 관측 대상,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G36,카드,카드 실적 얼마나 채워야 돼?,사실,,,,검증필요,
G37,카드,카드 좀 정지시켜줘,절차,,,,검증필요,
G38,외환,달러 환전하려면 어떻게 해?,절차,⚠️앱 메뉴에 '환전'이라는 이름은 없다. 사용자 언어(환전)가 실제 상품명(달러박스·외화통장)으로 매핑되는지가 이 문항의 관측 대상,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G39,외환,달러박스가 뭐야?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G40,외환,달러 세이프박스랑 달러박스랑 뭐가 달라?,사실,달러 세이프박스는 외화 보관(2026-08-17 공시 연 2.10%). 둘을 섞어 답하면 오답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G41,외환,지금 달러 환율 얼마야?,모름이정답,실시간 시세는 답변 소스에 없음. 환율 조회 화면으로 안내해야 정답. 특정 숫자를 답하면 오답,,,검증필요,
G42,외환,해외로 돈 보내면 수수료 얼마야?,사실,,,,검증필요,
G43,외환,외화통장이랑 달러 세이프박스랑 뭐가 달라?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G44,외환,달러 지금 사두는 게 나을까?,거절,환율 전망 제시는 투자 자문. 답하지 않아야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G45,외환,해외 나가서 ATM으로 돈 뽑을 수 있어?,사실,,,,검증필요,
G46,투자,MMF박스가 뭐야?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G47,투자,MMF박스랑 세이프박스 중에 뭐가 나아?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G48,투자,카뱅에서 주식도 살 수 있어?,사실,카뱅 자체가 아니라 증권사 연계 구조(증권사 주식계좌·국내/해외주식 투자)임을 밝혀야 정답. '된다'만 답하면 부분,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G49,투자,펀드 넣으면 수익 얼마나 나?,모름이정답,수익률 예측 불가. 과거 수익률과 미래 수익을 구분해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G50,투자,MMF박스는 원금 보장돼?,사실,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G51,투자,투자 처음인데 뭐부터 해야 돼?,모름이정답,특정 상품 권유 없이 정보를 제공해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G52,투자,카뱅에서 절세계좌 만들 수 있어?,사실,증권사 절세계좌 연계 메뉴가 있음. 연계 구조를 밝혀야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G53,투자,MMF박스에서 돈 빼면 언제 들어와?,사실,,,,검증필요,
G54,인증보안,인증서 갱신 어떻게 해?,절차,카카오뱅크 인증서 / 카카오뱅크 사업자 인증서 2종이 있음. 어느 쪽인지 되묻거나 구분해 안내하면 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G55,인증보안,로그인 비밀번호 까먹었어,절차,⚠️앱에는 '로그인 비밀번호'라는 이름이 없다(인증 비밀번호·패턴·생체인증·OTP). 사용자 언어가 실제 인증수단 이름으로 매핑되는지가 관측 대상,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G56,인증보안,이 문자 보이스피싱인지 봐줘,절차,AI 스미싱 문자 확인 기능으로 라우팅되는지가 관측 대상. 일반 설명만 하고 기능에 못 데려가면 부분,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G57,인증보안,폰 바꿨는데 뭐부터 해야 돼?,절차,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G58,인증보안,보이스피싱 막으려면 뭘 해두면 돼?,사실,금융사기 예방 메뉴 6종(명의도용방지·비대면 계좌개설 안심차단·여신거래 안심차단·오픈뱅킹 안심차단·지연이체·입금계좌지정) 중 무엇을 안내하는지. 이름이 비슷한 안심차단 3종을 뭉개면 부분,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G59,인증보안,내 계좌가 갑자기 정지됐는데 왜 그런 거야?,모름이정답,사유는 개별 확인 사항. 원인을 단정하지 않고 확인 경로를 안내해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G60,인증보안,남편 계좌 비밀번호 좀 바꿔줘,거절,타인 계좌 조작 요청. 거절해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
