seed_id,round,turn,입력질문,답변요약,근거표시,한계고지,노출된_추천_전부,클릭한_추천,앱기능_진입,진입한_기능명,판정,메모
S03,1,1,신용대출 한도 얼마까지 나와?,"최소 100만~최대 3억 공시 + 신용점수·상환능력·기존부채에 따라 다름 고지. 상품별 최대한도를 4종으로 분리 제시(신용대출 3억/중신용대출 1억/새희망홀씨Ⅱ 3500만/같이대출 2억) + 앱 경로 안내",X,O,1.마이너스통장대출 한도는 얼마야? / 2.신용대출 금리는 어느 정도야? / 3.신용대출이랑 중신용대출 뭐가 달라?,마이너스통장대출 한도는 얼마야?,O,신용대출 비교하기(상품화면),정답,"🟢G01 3단계 채점 최상위 충족 — 공시 범위 제시 + 개인 심사 고지 둘 다 있음. 딥링크 https://kakaobank.onelink.me/0qMi/wu835bis. 🔴중신용대출 최대 1억을 별도 공시 — 앱 전체탭은 '신용대출/중신용대출'을 한 항목(최대 3억)으로 묶어놨다. 골든셋 G03 기대값 재검토 필요. 🔴'새희망홀씨Ⅱ'·'같이대출'은 앱 전체탭 메뉴에 없던 이름"
S03,1,2,마이너스통장대출 한도는 얼마야?,"최소 100만~최대 1억 + 개인별 상이 고지. 조회는 '전체탭>대출>신용대출/중신용대출', 신청은 '전체탭에서 마이너스통장대출 검색 후 신청하기'로 안내",X,O,1.마이너스통장대출 금리는 어느 정도야? / 2.마이너스통장대출이랑 신용대출 뭐가 달라? / 3.비상금대출 한도는 얼마야?,마이너스통장대출 금리는 어느 정도야?,O,신용대출 비교하기(상품화면),정답,"🔴미해결 질문 ③ 해소 — 마이너스통장대출은 실재하나 전체탭 최상위 메뉴에는 없고 '검색해서 들어가라'고 안내한다. 즉 메뉴 목록≠상품 목록. 골든셋에서 마이너스통장을 뺀 판단이 성급했을 수 있음(경로 검증 필요). 🟡추천 3번 '비상금대출'도 마찬가지로 메뉴에 없던 이름. 딥링크는 1턴과 동일 URL"
S03,1,3,마이너스통장대출 금리는 어느 정도야?,"(2026-08-17 기준) 연 5.650~9.800%. 기준금리 3.031% + 가산금리 2.577~6.769% - 우대금리로 분해 제시. 신용도·심사결과(신규/연장)·선택 기준금리(금융채 3M/1Y)에 따라 상이 고지",기준일,O,1.마이너스통장대출 이자는 매달 어떻게 계산돼? / 2.마이너스통장대출 연체되면 금리는 어떻게 돼? / 3.마이너스통장대출 신청 조건이 뭐야?,마이너스통장대출 이자는 매달 어떻게 계산돼?,O,신용대출 비교하기(상품화면),정답,"🟢관측 통틀어 가장 좋은 답변 형태 — 기준일 + 금리 산식 분해 + 개인차 요인 열거. 12턴 중 기준일 표기는 이번이 2번째(S01 1턴 이후). 딥링크는 여전히 1턴과 동일 URL"
S03,1,4,마이너스통장대출 이자는 매달 어떻게 계산돼?,"일별 최고 사용금액 × 대출금리로 하루 단위 계산, 이자납입일에 자동납부. 직전 이자납입일 다음날~이번달 이자납입일 구간. 세부는 '내 계좌(대출)'에서 확인 안내",X,X,1.마이너스통장대출 이자납입일은 어디서 바꿔? / 2.마이너스통장대출을 중간에 갚으면 이자는 바로 줄어? / 3.대출 이자 계산기로 내 조건 넣고 월 이자 계산해줘,마이너스통장대출 이자납입일은 어디서 바꿔?,O,신용대출 비교하기(상품화면) + 내 계좌(대출),정답,"🔴딥링크 카드가 처음으로 2개(https://kakaobank.onelink.me/0qMi/wu835bis + https://kakaobank.onelink.me/0qMi/29v74eex). 🔴추천 3번 '대출 이자 계산기로 내 조건 넣고 월 이자 계산해줘' — AI 금융계산기로 넘어갈 수 있던 유일한 분기였으나 첫번째 추천 규칙상 미방문. 2라운드 최우선 후보"
S03,1,5,마이너스통장대출 이자납입일은 어디서 바꿔?,"신규 신청 시 원하는 날짜로 지정한다고만 답함. 기보유 건의 변경 방법은 '변경 메뉴가 제공되는지는 화면 구성에 따라 달라서 앱에서 안 보이면 고객센터 확인 필요'로 종료",X,O,1.이자납입일을 바꾸면 다음 달부터 바로 적용돼? / 2.이자납입일에 잔액이 부족하면 어떻게 돼? / 3.마이너스통장대출 연체금리는 어떻게 돼?,5턴 종료,X,,부분,"🔴이 시드의 핵심 발견 — '어디서 바꿔?'라는 경로 질문에 경로를 못 주고 고객센터로 넘겼다. 한계고지 자체는 정직해서 오답은 아니나, 자기 앱 UI를 모른다는 뜻이라 '상품 페이지로 연결'이라는 목표에 도달 실패 = 부분. 🔴딥링크 카드 없음 — 5턴 중 처음. 주제가 이자납입일까지 멀어지자 딥링크가 끊겼다"
S04,1,1,26주적금 지금 시작하면 언제 끝나?,"2027-02-16 만기라고 답변. 계산 기준을 스스로 명시 — '26주=26×7=182일, 시작일 2026-08-17에 182일을 더한 날짜'",기준일,X,1.26주적금은 매주 얼마씩 넣어야 해? / 2.26주적금 만기 금액은 얼마나 돼? / 3.중간에 해지하면 이자는 어떻게 돼?,26주적금은 매주 얼마씩 넣어야 해?,X,,오답,"🔴🔴하루 오차 — 2026-08-17+182일 = 2027-02-15(월)이다. 답변한 2027-02-16(화)은 183일. 검산 완료(PowerShell). 자기가 명시한 계산 기준과 자기 답이 어긋난다 = 룰 기반 채점기가 결정적으로 잡을 수 있는 유형. 요일 정합성도 깨진다(26주적금은 자동이체 요일 고정이므로 월→월이 맞다). 🔴딥링크 카드 없음 — 상품 질문인데 1턴에 진입 경로가 없다"
S04,1,2,26주적금은 매주 얼마씩 넣어야 해?,"최초 1천/2천/3천/5천/1만원 중 선택, 매주 그만큼 증액(1주 1천→26주 2만6천). 자동이체 요일은 가입 요일로 고정이라 변경 불가",X,X,1.처음 금액을 1만원으로 하면 총 얼마를 넣게 돼? / 2.자동이체가 실패하면 어떻게 해야 해? / 3.26주적금은 어디에서 가입해?,처음 금액을 1만원으로 하면 총 얼마를 넣게 돼?,O,26주적금 개설(상품화면),정답,딥링크 https://kakaobank.onelink.me/0qMi/kuk8c9zs
S04,1,3,처음 금액을 1만원으로 하면 총 얼마를 넣게 돼?,"351만원(3510000원). 1만원×(1+2+…+26)=1만원×351 로 등차수열 합 산식까지 제시",X,X,1.1만 원 시작이면 만기 때 이자는 대략 얼마나 붙어? / 2.26주적금 중간에 실패한 주가 생기면 어떻게 돼? / 3.26주적금 가입은 어디에서 해?,1만 원 시작이면 만기 때 이자는 대략 얼마나 붙어?,X,,정답,"검산 일치(PowerShell). 🟢계산 자체는 정확하다 — 이 시드에서 반복 확인되는 사실. 딥링크 카드 없음(2턴엔 있었음) → 격턴 패턴"
S04,1,4,1만 원 시작이면 만기 때 이자는 대략 얼마나 붙어?,"연 5.00% 적용 가정. 총원금 3510000 / 세전이자 32375 / 세후이자 27395 / 총수령 3537395. 표로 제시",X,X,1.7주까지만 연속 성공하면 이자는 얼마나 달라져? / 2.자동이체가 한 번 실패하면 금리는 어떻게 돼? / 3.26주적금 가입은 어디에서 해?,7주까지만 연속 성공하면 이자는 얼마나 달라져?,O,26주적금 개설(상품화면),정답,"⚠️잠정 판정 — 연 5.00%가 앱 공시와 맞는지 미확인(우리 [A] 공시표에 26주적금 없음). 5턴에서 같은 조건에 6.00%가 나와 충돌한다. 세후율 0.846 = 이자소득세 15.4% 정확. 🔴금리를 제시하면서 기준일을 안 붙였다 — 변동값인데 근거표시 X"
S04,1,5,7주까지만 연속 성공하면 이자는 얼마나 달라져?,"'줄어든다'고만 하고 7주 중단 시 금액은 '여기서 확정해 계산하기 어렵다'고 한계고지. 대신 26주 완주 기준을 다시 제시했는데 이때 금리가 연 6.00%로 바뀜 — 세전 38850 / 세후 32880 / 총수령 3542880",X,O,1.7주까지만 넣으면 원금은 총 얼마야? / 2.중간에 해지하면 이자 계산 방식이 어떻게 돼? / 3.26주적금에서 연속 성공 조건이 정확히 뭐야?,5턴 종료,X,,오답,"🔴🔴🔴이 라운드 최대 발견 — 같은 대화·같은 조건(최초 1만원/6개월/26회)인데 4턴 연 5.00% → 5턴 연 6.00%. 세전이자가 정확히 1.2배(32375×1.2=38850)라 계산 엔진은 일관되고 **입력된 금리만 흔들렸다**. 비결정성 사양으로 변명 안 되는 유형 = 한 대화 안의 자기모순. 어느 쪽이 앱 공시와 맞는지 미확인 → 앱 대조 후 확정. 🟢한계고지 자체는 모범 사례(모르는 것을 모른다고 함)"
S05,1,1,체크카드 재발급 어떻게 해?,"앱 경로 '홈 화면 오른쪽 아래 전체(···)>내 카드>카드관리>카드 재발급 신청' + 고객센터 신청(기존 조건 동일만). 앱 신청 시 국내외겸용·후불교통 선택 가능. K-패스는 동일 디자인만. 분실·훼손 재발급 수수료 2000원. 새 카드 사용등록하면 기존 카드 자동해지",X,O,1.분실신고는 어디서 해? / 2.재발급 신청했는데 배송이 반송됐을 때는 어떻게 해? / 3.자동결제 걸어둔 건 재발급 후에 어떻게 해야 해?,분실신고는 어디서 해?,O,내 카드(상품화면),정답,"딥링크 https://kakaobank.onelink.me/0qMi/fel9d2zm. 🟢조건 분기(앱/고객센터, K-패스 예외)를 밝혀 한계고지 O. 🔴수수료 2000원이라는 숫자를 말하면서 기준일·출처 없음. 🔴답변에 마크다운 헤더(##✅)가 등장 — S01~S04는 불릿만 썼다. 게다가 '##'과 텍스트 사이 공백이 없어 렌더링이 깨질 수 있는 형태"
S05,1,2,분실신고는 어디서 해?,"앱 경로 '전체(···)>내 카드>카드관리>분실신고' + 고객센터도 가능",X,X,1.분실신고 해제는 어디서 해? / 2.분실카드로 부정사용이 생기면 어떻게 해야 해? / 3.재발급 수수료는 얼마야?,분실신고 해제는 어디서 해?,O,분실신고/해제(상품화면),정답,"딥링크 https://kakaobank.onelink.me/0qMi/1v0pv1i4. 🔴추천 3번 '재발급 수수료는 얼마야?'는 1턴에서 이미 답한 내용(2000원)이다 = **이미 답한 것을 되묻는 추천**. 프로토콜 지표4(추천 적절성)의 새 유형"
S05,1,3,분실신고 해제는 어디서 해?,"앱 경로를 '오른쪽 상단 고객센터>분실신고/해제'로 안내. 실물카드 정보와 비밀번호 입력으로 해제 가능",X,X,1.분실신고 해제했는데 결제가 안 되면 어떻게 해? / 2.분실신고 해제하면 교통카드도 바로 다시 쓸 수 있어? / 3.분실신고 후 재발급까지 같이 하려면 어떻게 해?,분실신고 해제했는데 결제가 안 되면 어떻게 해?,O,분실신고/해제(상품화면),정답,"🔴🔴이 시드의 핵심 발견 — **같은 목적지에 대한 경로 안내가 갈렸다.** 2턴은 '전체>내 카드>카드관리>분실신고', 3턴은 '오른쪽 상단 고객센터>분실신고/해제'. 딥링크는 2턴과 **동일 URL**(1v0pv1i4)이라 목적지는 같다. 앱에 진입점이 실제로 둘일 수도 있어 오답 단정 불가 → **앱 검증 필요**. 잠정 정답"
S05,1,4,분실신고 해제했는데 결제가 안 되면 어떻게 해?,"원인을 3가지로 분류 — ①후불교통만 막힘(단말기 반영 3~5영업일) ②카드 결제기능 OFF(국내결제·해외이용 토글 확인) ③해제 미반영. 각각 확인 경로 제시",X,O,1.교통카드만 안 될 때 며칠 기다려야 해? / 2.카드 결제 잠금(국내결제 ON/OFF) 어디서 바꿔? / 3.분실신고 후 부정사용 보상신청은 어떻게 해?,교통카드만 안 될 때 며칠 기다려야 해?,O,분실신고/해제 + 내 카드,정답,"🟢17턴 중 가장 좋은 답변 구조 — 원인을 유형화하고 각각의 확인 경로를 줬다. '보통은 3가지 중 하나' '~일 수 있어요'로 한계고지도 O. 딥링크 2개 동시 노출(S03 4턴에 이어 두 번째)"
S05,1,5,교통카드만 안 될 때 며칠 기다려야 해?,"해제일로부터 약 3~5영업일. 지역·기관에 따라 더 늦어질 수 있다고 고지",X,O,1.교통 단말기에 미승인 카드라고 뜰 때는 왜 그래? / 2.후불교통 이용대금 연체 여부는 어디서 확인해? / 3.교통 이용내역은 어디서 봐?,5턴 종료,O,분실신고/해제(상품화면),정답,"🟢5턴 완주 + 딥링크 5턴 전부 노출(S02에 이어 두 번째). 🟢이 시드는 **추천 문자열 재탕이 0회** — S02(3턴 연속)·S04(2턴)와 대비된다. 🔴주제는 재발급→분실신고→해제→결제불가→교통카드로 완전히 드리프트. 원래 질문과 무관해졌으나 각 턴은 자연스러운 후속이다"
S06,1,1,자동이체 등록하려면 어떻게 해?,"경로 '전체탭(···) → 자동이체 → 추가하기'. 입력 항목 4개(출금계좌·입금계좌·주기/출금일·금액). 지로·CMS·펌뱅킹(요금납부용)은 앱이 아니라 청구기관에 직접 신청해야 함을 구분",X,O,1.자동이체 가져오기는 뭐야? / 2.자동이체 일시정지는 어떻게 해? / 3.자동이체 해지는 어디서 해?,자동이체 가져오기는 뭐야?,O,자동이체 조회/추가(상품화면),정답,"딥링크 https://kakaobank.onelink.me/0qMi/oqka9hlj. 🔴경로 표기 3번째 변이 — S02·S03 '전체탭>', S05 '홈 화면 오른쪽 아래 전체(···)>', S06 '전체탭(···) →'. 구분자도 > 에서 → 로 바뀜"
S06,1,2,자동이체 가져오기는 뭐야?,"타 금융기관 자동이체를 카뱅으로 이관하는 기능. 이용시간 매일 09:00~22:00 / 출금일 최소 7일 전(주말·공휴일 제외) 신청 / 일부는 최대 6일 소요 / 휴일 조회 불가 가능 / 기존 기관의 우대조건(대출·예금금리)에 영향 가능",X,O,1.자동이체 가져오기가 안 될 때 흔한 이유가 뭐야? / 2.자동이체 가져오기 진행 상태는 어디서 봐? / 3.자동이체 일시정지는 어떻게 해?,자동이체 가져오기가 안 될 때 흔한 이유가 뭐야?,O,자동이체 가져오기 신청(상품화면),정답,"🟢🟢딥링크가 주제를 따라 **바뀌었다** — 1턴 oqka9hlj → 2턴 https://kakaobank.onelink.me/0qMi/phtfa7h8. S03(5턴 내내 동일 URL)의 **반례**. 🟢사용자에게 불리할 수 있는 점(기존 기관 우대조건 상실)을 먼저 밝힘 — 좋은 답변 형태. 🔴추천 3번은 1턴 2번과 문자열 동일(재탕 1)"
S06,1,3,자동이체 가져오기가 안 될 때 흔한 이유가 뭐야?,"원인 8가지 열거 — 미지원 기관 / 출금계좌 상태 / 변경·해지된 건 / 출금일 중복 / 신규 신청 1~2일 이내 / 기관 정책·상품 유형 / 이용시간 외 / 앱 버전 2.41 미만",X,O,1.자동이체 가져오기 진행 상태는 어디서 봐? / 2.자동이체 가져오기 신청은 어디서 해? / 3.자동이체가 실패했을 때 출금 우선순위는 어떻게 돼?,자동이체 가져오기 진행 상태는 어디서 봐?,O,자동이체 가져오기 신청(상품화면),정답,"🔴**앱 버전 2.41 미만**을 조건으로 제시 — 기준일 없이 버전 번호를 말한다. 앱 버전은 계속 올라가므로 **RAG 문서 노후화 신호**일 가능성. 현재 버전 대조 필요. 🔴추천 1번은 2턴 2번과 문자열 동일(재탕 2). 🔴추천 2번 '가져오기 신청은 어디서 해?'는 2턴에서 이미 경로를 답한 내용 = 이미 답한 것을 되묻는 추천(S05에 이어 2번째)"
S06,1,4,자동이체 가져오기 진행 상태는 어디서 봐?,"경로 '전체탭(···) → 자동이체 가져오기 내역'. 진행중/완료(성공·실패·취소) 구분. 일부는 실시간이 아니라 개별 결과는 푸시, 다건 신청 시 전체 완료일 기준 알림톡",X,O,1.자동이체 가져오기 취소는 어떻게 해? / 2.가져오기 하면 이중 출금될 수도 있어? / 3.자동이체 가져오기는 얼마나 걸려?,자동이체 가져오기 취소는 어떻게 해?,O,자동이체 가져오기 내역 조회(상품화면),정답,"🟢🟢딥링크 **3번째 URL로 또 바뀜** — https://kakaobank.onelink.me/0qMi/ipawsecg. 이 시드는 딥링크가 주제 이동을 정확히 따라온다(oqka9hlj→phtfa7h8→ipawsecg)"
S06,1,5,자동이체 가져오기 취소는 어떻게 해?,"신청 당일 09:00~22:00에만 취소 가능. 경로 '전체탭(···) → 자동이체 가져오기 내역'에서 건 선택 후 취소. 계좌간 자동이체는 취소 불가 / 지로(실시간 처리건 제외)·펌뱅킹·CMS는 가능",X,O,1.가져오기 하면 이중 출금될 수도 있어? / 2.자동이체 가져오기는 얼마나 걸려? / 3.자동이체가 실패했을 때 출금 우선순위는 어떻게 돼?,5턴 종료,O,자동이체 가져오기 내역 조회(상품화면),정답,"🔴🔴🔴**추천 3개 전부가 이전 턴 문자열의 재탕** — 1번=4턴2번 / 2번=4턴3번 / 3번=3턴3번. 추천이 있는데 **새 경로가 하나도 없다**. 프로토콜 지표2 「막다른 길」 정의 확장 필요: 소멸뿐 아니라 **전부 재탕**도 실질적 막다른 길이다. 이 시드의 재탕 총 6건 = 최다. 🔴마크다운 헤더 '##취소 방법'에 또 공백 없음(S05와 동일) → 우연 아님. 🟢한계고지는 5턴 전부 O"
S07,1,1,계좌 비밀번호 잊어버렸는데 어떡해?,"경로 '홈 화면 → 해당 계좌 선택 → 오른쪽 상단 톱니바퀴(계좌관리) → 계좌 비밀번호 재설정'. 5회 이상 틀린 경우도 동일 절차. 재설정에 영상통화 인증 포함",X,O,1.mini 비밀번호 잊었을 때는 어떻게 재설정해? / 2.인증 비밀번호(PIN) 재설정은 어디서 해? / 3.계좌 비밀번호를 바꾸는 것(변경)이랑 재설정은 뭐가 달라?,mini 비밀번호 잊었을 때는 어떻게 재설정해?,X,,정답,"🔴딥링크 카드 없음 — **긴급 절차 질문인데 1턴에 진입 경로가 없다.** S04 1턴과 같은 패턴(1턴 딥링크 부재가 반복된다). 🔴🔴비밀번호 이름이 여기서 '계좌 비밀번호'로 나온다 — 우리 [A] 인증/보안 메뉴 기록에는 '인증 비밀번호'만 있었다. **혼동 축 3번째 발견**(아래 5턴 메모 참조). 🟢경로 표기가 4번째 변이: '홈 화면 →'"
S07,1,2,mini 비밀번호 잊었을 때는 어떻게 재설정해?,"조회 불가·재설정만 가능. 경로 'mini → 관리 → 계좌 비밀번호 재설정 → 혹시 비밀번호를 잊으셨나요? → 휴대폰 본인확인(약관동의·정보입력·인증요청·인증비밀번호 6자리) → 새 mini 비밀번호 → 인증 비밀번호'. 5회 틀려 잠긴 경우도 동일. 만 14세 미만은 보호자 동의",X,O,1.mini 인증 비밀번호(PIN)도 잊었는데 재설정은 어떻게 해? / 2.mini카드 비밀번호(카드 결제 비밀번호) 바꾸는 방법 알려줘 / 3.mini 이용한도(하루/한 달)는 어떻게 돼?,mini 인증 비밀번호(PIN)도 잊었는데 재설정은 어떻게 해?,O,카카오뱅크 mini(상품화면),정답,"🔴🔴**추천 체인이 mini로 끌고 갔다** — 시드는 일반 계좌 비밀번호였는데 2~5턴 전부 mini다. mini는 골든셋 설계에서 **의도적으로 제외한 영역**(FAQ 142개, docs/04)인데 대화는 거기로 간다. 실제 사용자도 같이 끌려간다 = 우리 커버리지 설계와 실제 대화 흐름이 어긋나는 지점. 딥링크 https://kakaobank.onelink.me/0qMi/nft68wdd"
S07,1,3,mini 인증 비밀번호(PIN)도 잊었는데 재설정은 어떻게 해?,"조회 불가·재설정만. 경로 '오른쪽 아래 전체(···) → 인증/보안 → 인증 비밀번호 → 인증 비밀번호 변경 및 재설정'. 본인확인 3종 선택 — mini카드 정보 / 다른 은행 계좌 / 영상통화. 만 14세 미만은 영상통화 대신 본인 명의 휴대폰",X,O,1.mini카드로 본인확인할 때 필요한 정보가 뭐야? / 2.인증 비밀번호를 5번 틀리면 어떤 제한이 걸려? / 3.패턴 로그인도 같이 막혔을 때는 어떻게 풀어?,mini카드로 본인확인할 때 필요한 정보가 뭐야?,O,인증 비밀번호 관리 + 인증/보안,정답,"🟢경로가 우리 [A] 메뉴 기록과 **일치**(전체>인증/보안>인증 비밀번호). 단 AI는 중간 계층 '서비스'와 '인증수단 관리'를 생략했다 — 축약이지 오류는 아님. 딥링크 2개: https://kakaobank.onelink.me/0qMi/2j2dn3pg + https://kakaobank.onelink.me/0qMi/dx5ex1dw"
S07,1,4,mini카드로 본인확인할 때 필요한 정보가 뭐야?,"앱에 등록된 mini카드 정보 2가지 — CVC(뒷면 서명란 3자리) + 기존 카드 비밀번호. 카드 미등록·분실신고·정지·해지·유효기간 만료 시 사용 불가. CVC 오류횟수 초과 시 고객센터 문의",X,O,1.mini카드가 없으면 PIN 재설정은 어떤 방법으로 할 수 있어? / 2.mini카드 비밀번호를 잊었을 때 재설정은 어떻게 해? / 3.PIN을 여러 번 틀리면 어떤 제한이 생겨?,mini카드가 없으면 PIN 재설정은 어떤 방법으로 할 수 있어?,O,인증 비밀번호 관리 + 인증/보안,정답,"⚠️리포트 주의 — 카드 인증정보(CVC) 위치 안내가 담긴 답변이다. **본인 카드 데이터가 아니라 공개 절차 설명이므로 기록은 안전**하나, 리포트에는 원문을 싣지 않고 유형으로만 쓴다. 🟢사용 불가 조건을 5가지나 밝혀 한계고지 우수"
